Source,Target,Weight
조현상,청주_청남초등학교,19
청주농업고등학교,홍범식,19
김교신,김정록,10
김성근,김호규,10
민규현,민철훈,10
민병삼,민영규,10
민원식,엄준원,10
민종묵,민철훈,10
박승원,박정서,10
성일용,성주경,10
윤웅렬,윤치호,10
이강식,이기원,10
이건하,이범팔,10
이규원,이하영,10
이능세,이정로,10
장석주,장인원,10
정낙용,정주영,10
조민희,조중수,10
조용호,조중수,10
조원세,조중헌,10
고흥겸,고희경,9
김동한,김영수,9
김동한,손지환,9
이범팔,이완종,9
이병주,이항구,9
이택주,이해승,9
최석민,최정원,9
갈홍기,이묘묵,8
강동희,문명기,8
강병일,김성규,8
강병일,박요섭,8
강재호,신현준,8
강현묵,김동렬,8
고영희,박제순,8
고영희,조중응,8
고영희,송병준,8
고영희,이병무,8
고영희,고희경,8
고희준,신광희,8
권중현,박제순,8
권중현,이지용,8
권중현,이근택,8
권중현,민영기,8
김기창,김은호,8
김기창,김인승,8
김기창,심형구,8
김동인,임학수,8
김동한,박석윤,8
김동환,유진오,8
김문집,정인섭,8
김석원,백홍석,8
김성규,박요섭,8
김송렬,이경빈,8
김송렬,한영휘,8
김송렬,허기열,8
김송렬,허진성,8
김시현,이봉래,8
김연수,최남선,8
김응순,전필순,8
김정혁,방한준,8
김진태,박노학,8
김택현,유학주,8
김택현,이희덕,8
김택현,양재익,8
김학진,민영소,8
김한경,인정식,8
김호규,박부양,8
김활란,장덕수,8
남규희,유정수,8
남정철,민영규,8
남정철,민영소,8
노주봉,진용섭,8
모윤숙,최정희,8
모윤숙,유진오,8
민건식,민영기,8
민규식,조병상,8
민병삼,이윤용,8
민병석,윤덕영,8
민영규,이근명,8
민영휘,조진태,8
박경호,조택원,8
박기순,백남신,8
박기순,박영래,8
박두영,이경재,8
박봉주,신석우,8
박영래,백남신,8
박영래,유두환,8
박영래,정석모,8
박영철,최린,8
박영철,조병상,8
박영효,윤덕영,8
박영효,한상룡,8
박영효,박찬범,8
박영희,유진오,8
박영희,최정희,8
박인덕,최정희,8
박제순,이지용,8
박제순,이근택,8
박춘금,이기동,8
박춘금,홍준표,8
박희도,인정식,8
박희도,정대현,8
배상명,허하백,8
백낙준,양주삼,8
백완혁,조진태,8
서창보,이범찬,8
서항석,유치진,8
서항석,주영섭,8
손정규,임숙재,8
송금선,조기홍,8
송병준,이용구,8
송병준,송종헌,8
신석린,조성근,8
신응희,이범래,8
신흥우,윤치호,8
어윤적,홍운표,8
엄주명,유관희,8
엄준원,조희문,8
유진오,최재서,8
유치진,함대훈,8
윤갑병,이용구,8
윤강로,윤덕영,8
윤상필,이성재,8
윤상필,장규원,8
윤치호,최린,8
윤치호,한상룡,8
윤필오,이병학,8
이경빈,허기열,8
이광수,최남선,8
이광수,최재서,8
이광수,채만식,8
이근명,이충세,8
이근택,이지용,8
이기동,이동우,8
이기동,홍준표,8
이능화,홍희,8
이병무,임선준,8
이병학,정재학,8
이상협,최린,8
이서구,조택원,8
이성재,최창현,8
이숙종,홍승원,8
이숙종,조기홍,8
이영근,임용길,8
이용구,홍긍섭,8
이인수,최정규,8
이재극,이하영,8
이학재,최정규,8
인창환,정석모,8
임선준,조중응,8
장지량,최정규,8
조대호,조원흥,8
최영년,홍긍섭,8
최운섭,한경원,8
한경원,한국정,8
한영휘,허기열,8
강동희,장헌식,7
강현묵,허기열,7
고영희,임선준,7
고영희,이재곤,7
고영희,이재면,7
고원훈,한상룡,7
고원훈,민규식,7
고원훈,윤치호,7
고원훈,최남선,7
고원훈,이진호,7
고원훈,장직상,7
고원훈,방의석,7
고원훈,이병길,7
고원훈,차재정,7
고중덕,고흥겸,7
고황경,김활란,7
고황경,유각경,7
고황경,홍승원,7
고황경,손정규,7
고황경,허하백,7
고황경,윤태빈,7
고황경,김은호,7
고흥겸,이병길,7
고흥겸,이홍묵,7
고흥겸,박영효,7
고흥겸,이규원,7
고흥겸,박부양,7
고흥겸,박승원,7
고흥겸,정천모,7
고희준,김명준,7
고희준,민원식,7
고희준,예종석,7
구자옥,윤치호,7
권상로,박영철,7
권중식,김정호,7
권중현,이하영,7
김갑순,김명준,7
김갑순,박봉주,7
김갑순,신석우,7
김경재,박석윤,7
김관수,유치진,7
김관현,한규복,7
김관현,성원경,7
김규창,유학주,7
김규창,김사영,7
김기진,김동환,7
김기진,이광수,7
김기진,유진오,7
김기진,조용만,7
김기진,김종한,7
김기창,김동환,7
김기창,노천명,7
김기창,김종한,7
김길창,양주삼,7
김길창,정인과,7
김대우,윤치호,7
김대우,이각종,7
김대우,최린,7
김동렬,허기열,7
김동만,이성재,7
김동인,박영희,7
김동인,이광수,7
김동인,김동환,7
김동인,유진오,7
김동인,최재서,7
김동진,이상협,7
김동진,서춘,7
김동환,이광수,7
김동환,최정희,7
김동환,이종욱,7
김동환,이성환,7
김동환,정훈,7
김동환,김인승,7
김동환,노천명,7
김동환,김억,7
김동환,정인섭,7
김명준,민원식,7
김명준,박영철,7
김명준,신석린,7
김명준,한상룡,7
김명준,원덕상,7
김명준,이동화,7
김명준,성원경,7
김명준,조성근,7
김명준,이동우,7
김명준,김환,7
김명준,김석태,7
김명준,김상설,7
김명준,최창학,7
김문집,이광수,7
김문집,박영희,7
김문집,유진오,7
김문집,최재서,7
김문집,김용제,7
김병규,이진호,7
김사연,윤치호,7
김사연,최린,7
김사연,정대현,7
김사연,조기간,7
김사영,김택현,7
김사영,유학주,7
김상설,이진호,7
김상연,신석린,7
김성수,윤치호,7
김성수,유진순,7
김성수,박상준,7
김성수,석명선,7
김시권,신흥우,7
김시권,한규복,7
김억,이광수,7
김억,최재서,7
김억,박영희,7
김억,유진오,7
김연수,윤치호,7
김연수,박흥식,7
김연수,한상룡,7
김연수,방규환,7
김연수,장직상,7
김영진,박중양,7
김영진,한규복,7
김영진,이충건,7
김완진,나일봉,7
김완진,이대영,7
김용제,이광수,7
김용제,박영희,7
김용제,최재서,7
김용제,인정식,7
김용제,김한경,7
김용제,박희도,7
김유영,최정규,7
김유영,양정묵,7
김윤정,홍승원,7
김윤정,모윤숙,7
김윤정,박인덕,7
김윤정,최정희,7
김은호,손정규,7
김은호,김인승,7
김은호,심형구,7
김응두,이성재,7
김응두,박준병,7
김응두,김태호,7
김인승,노천명,7
김인승,심형구,7
김재순,이재극,7
김정국,송병준,7
김정국,박지양,7
김정호,방의석,7
김정호,방규환,7
김태호,이성재,7
김태호,신기석,7
김택현,원세기,7
김택현,최정규,7
김학진,남정철,7
김한규,박영효,7
김호규,이병길,7
김호규,한상억,7
김호규,이기용,7
김환,민원식,7
김환,이동우,7
김활란,윤덕영,7
김활란,유억겸,7
김활란,손정규,7
김활란,송금선,7
김활란,조기홍,7
김활란,이숙종,7
김활란,유각경,7
나일봉,선우순,7
나일봉,안인식,7
나일봉,이경식,7
나일봉,장응진,7
남궁영,박영철,7
남궁영,박상준,7
남궁영,한규복,7
남궁영,장대익,7
남정철,박영효,7
모윤숙,손정규,7
모윤숙,박인덕,7
모윤숙,홍승원,7
민건식,이경식,7
민규식,윤치호,7
민규식,한상룡,7
민규식,유억겸,7
민규식,장직상,7
민병석,박제순,7
민병석,조중응,7
민병석,박영효,7
민병석,이재면,7
민병석,박서양,7
민영기,박제순,7
민영기,이지용,7
민영기,이하영,7
민영기,선우일,7
민영기,장홍식,7
민영기,한익교,7
민영기,이근택,7
민영기,박제빈,7
민영은,박영철,7
민영휘,이재극,7
민원식,정운복,7
박경석,박영철,7
박경호,이철,7
박기동,이근우,7
박기순,이강원,7
박두영,윤치호,7
박두영,최윤주,7
박보양,박영효,7
박보양,방응모,7
박부양,이병길,7
박부양,한상억,7
박부양,이홍묵,7
박석윤,이성재,7
박석윤,박준병,7
박석윤,최창현,7
박석윤,신기석,7
박석윤,장규원,7
박석윤,윤상필,7
박석윤,윤명선,7
박석윤,박희도,7
박연서,신흥우,7
박연서,방응모,7
박영철,한상룡,7
박영철,박중양,7
박영철,원응상,7
박영철,이택규,7
박영철,현준호,7
박영철,최창조,7
박영철,이승우,7
박영철,원덕상,7
박영철,이병렬,7
박영철,이각종,7
박영철,윤태빈,7
박영철,조성근,7
박영호,정인섭,7
박영효,송병준,7
박영효,윤택영,7
박영효,이해승,7
박영효,이규원,7
박영효,이기용,7
박영효,조동윤,7
박영효,이달용,7
박영효,이해창,7
박영효,이근상,7
박영효,이규완,7
박영효,정교원,7
박영효,이진호,7
박영효,신응희,7
박영효,조진태,7
박영효,어윤적,7
박영효,홍희,7
박영효,이재완,7
박영효,선우일,7
박영효,장대익,7
박영효,이재극,7
박영효,신석린,7
박영효,유일선,7
박영효,원응상,7
박영효,이충건,7
박영효,이창훈,7
박영희,임학수,7
박영희,최재서,7
박영희,유치진,7
박영희,양성순,7
박용구,박중양,7
박용구,이진호,7
박용구,조희문,7
박용구,안종철,7
박인덕,유억겸,7
박인덕,이숙종,7
박인덕,장덕수,7
박인덕,임숙재,7
박인덕,허하백,7
박인덕,홍승원,7
박인덕,신흥우,7
박제순,이하영,7
박제순,조중응,7
박제순,이재면,7
박제순,송병준,7
박제순,조희연,7
박준병,이성재,7
박중양,한상룡,7
박중양,조희문,7
박중양,엄준원,7
박중양,윤갑병,7
박중양,유성준,7
박중양,유혁로,7
박중양,이명구,7
박중양,유태설,7
박중양,상호,7
박중양,현준호,7
박지양,한경원,7
박철,박철희,7
박춘금,백낙승,7
박춘금,장직상,7
박흥식,한상룡,7
박흥식,윤치호,7
