Id,Label,Side,Type,Degree,PageRank,Betweenness,Community
2026-04-18,2026-04-18,미상,기타,0,0.9009,0,기타
3·1운동,3·1운동,미상,사건,101,34.8581,18221.85,사건
AGENTS,AGENTS,친일 | 항일 | 중립        # 인물/단체일 때만,인물 | 사건 | 단체 | 지역 | 문헌 | 학교 | 서훈,4,1.9665,32.25,기타
INDEX,INDEX,미상,인덱스,26,14.4349,67.93,기타
START,START,친일,가이드,22,10.9806,1418.7,친일
간도특설대,간도특설대,미상,사건,3,3.3572,200.22,사건
갈홍기,갈홍기,친일,인물,14,3.2767,6.45,친일
강경희,강경희,친일,인물,10,2.8034,6.18,친일
강대련,강대련,친일,인물,10,3.0472,64.54,친일
강동진,강동진,친일,인물,82,16.086,331.71,친일
강동희,강동희,친일,인물,63,10.9069,89.87,친일
강리황,강리황,친일,인물,12,2.9232,14.62,친일
강번,강번,친일,인물,9,2.4879,6.01,친일
강병옥,강병옥,친일,인물,19,3.9753,13.52,친일
강병일,강병일,친일,인물,4,1.9999,4.11,친일
강병찬,강병찬,항일,인물,3,2.3699,0.02,항일
강영수,강영수,항일,인물,4,2.8762,0.03,항일
강영인,강영인,항일,인물,4,2.8762,0.03,항일
강원_고성군_일제잔재,강원_고성군_일제잔재,미상,기타,0,0.9009,0,기타
강은호,강은호,항일,인물,5,3.0752,48.81,항일
강인수,강인수,친일,인물,1,1.6654,0.0,친일
강재호,강재호,친일,인물,10,3.0992,14.99,친일
강태만,강태만,친일,인물,5,2.001,3.21,친일
강필성,강필성,친일,인물,7,2.1095,1.53,친일
강혁선,강혁선,항일,인물,9,5.1685,2.84,항일
강현묵,강현묵,친일,인물,9,3.1462,2.16,친일
경기동,경기동,항일,인물,4,2.9502,0.59,항일
경성,경성,미상,지역,2,1.7013,1.78,지역
경성방송국,경성방송국,미상,단체,38,7.3473,39.08,기타
경성방직,경성방직,미상,단체,14,3.0409,2.65,기타
경성부,경성부,미상,단체,368,69.304,9823.09,기타
경성상공회의소,경성상공회의소,미상,단체,11,2.7391,3.33,기타
경성일보,경성일보,미상,단체,404,78.8403,9746.17,기타
경성전기주식회사,경성전기주식회사,미상,단체,8,2.1348,0.49,기타
경성협찬회,경성협찬회,미상,단체,69,13.611,171.02,기타
경술국치,경술국치,미상,사건,1,1.3933,0.0,사건
경용호,경용호,항일,인물,5,3.3861,0.18,항일
경정복,경정복,항일,인물,4,2.9502,0.59,항일
계광순,계광순,친일,인물,25,5.2412,86.88,친일
계란수,계란수,친일,인물,12,3.1959,20.76,친일
계응규,계응규,친일,인물,8,2.4487,10.35,친일
계정식,계정식,친일,인물,13,3.2131,21.58,친일
계찬겸,계찬겸,친일,인물,3,1.4745,0.68,친일
고긍명,고긍명,친일,인물,3,1.4648,0.42,친일
고영희,고영희,친일,인물,36,8.0926,274.48,친일
고원식,고원식,친일,인물,11,2.7633,4.88,친일
고원훈,고원훈,친일,인물,123,20.6821,898.61,친일
고일청,고일청,친일,인물,21,4.526,163.28,친일
고정순,고정순,친일,인물,2,1.2918,0.44,친일
고중덕,고중덕,친일,인물,9,2.5307,1.71,친일
고피득,고피득,친일,인물,3,1.4354,0.44,친일
고황경,고황경,친일,인물,41,7.5324,150.64,친일
고흥겸,고흥겸,친일,인물,46,8.7499,69.03,친일
고희경,고희경,친일,인물,24,5.2136,23.1,친일
고희준,고희준,친일,인물,43,7.6754,64.61,친일
곽법경,곽법경,친일,인물,5,1.8058,3.9,친일
곽용순,곽용순,항일,인물,7,4.3371,0.51,항일
곽우종,곽우종,항일,인물,5,3.3775,0.21,항일
곽인현,곽인현,항일,인물,5,3.3705,0.18,항일
곽재기,곽재기,항일,인물,9,4.7426,751.47,항일
곽창수,곽창수,항일,인물,5,3.0313,309.49,항일
곽한준,곽한준,항일,인물,4,2.8762,0.03,항일
관동대지진,관동대지진,미상,사건,3,1.5176,0.26,사건
광주_친일잔재,광주_친일잔재,미상,기타,2,2.6981,0.0,기타
광주학생운동,광주학생운동,미상,사건,48,27.9008,54.71,사건
괴산_명덕초등학교,괴산_명덕초등학교,미상,항일학교,15,8.5953,96.23,학교
괴산_연풍초등학교,괴산_연풍초등학교,미상,항일학교,4,2.6782,6.01,학교
괴산_청안초등학교,괴산_청안초등학교,미상,항일학교,6,4.054,0.82,학교
괴산_청천초등학교,괴산_청천초등학교,미상,항일학교,11,7.5076,2.4,학교
괴산군,괴산군,미상,지역,20,12.1213,39.06,지역
구동욱,구동욱,친일,인물,5,1.8916,0.99,친일
구연수,구연수,친일,인물,22,4.7483,107.7,친일
구연행,구연행,항일,인물,5,3.3705,0.18,항일
구자경,구자경,친일,인물,14,3.297,9.01,친일
구자옥,구자옥,친일,인물,31,5.7835,26.95,친일
국민정신총동원조선연맹,국민정신총동원조선연맹,미상,단체,192,33.4475,1976.67,기타
국민총력조선연맹,국민총력조선연맹,미상,단체,262,48.279,3944.93,기타
국민협회,국민협회,미상,단체,109,19.5815,1155.56,기타
국어보급회,국어보급회,미상,단체,1,1.1183,0.0,기타
권봉수,권봉수,친일,인물,4,1.6302,0.53,친일
권상로,권상로,친일,인물,35,6.5211,28.49,친일
권승록,권승록,친일,인물,1,1.0964,0.0,친일
권영길,권영길,항일,인물,5,3.3775,0.21,항일
권오성,권오성,항일,인물,4,2.8762,0.03,항일
권이구,권이구,항일,인물,4,2.8762,0.03,항일
권이득,권이득,항일,인물,4,2.8762,0.03,항일
권인규,권인규,항일,인물,5,3.2975,0.17,항일
권종,권종,항일,인물,4,2.8762,0.03,항일
권중식,권중식,친일,인물,16,3.6479,23.99,친일
